German,English,Score,SucceedSession,Succeed,TrySession,Retry
ein bisschen,a bit,-2,FALSE,FALSE,FALSE,01/01/2022
oben,above,-2,FALSE,FALSE,FALSE,01/01/2022
salonfähig,acceptable,-2,FALSE,FALSE,FALSE,01/01/2022
schlecht,bad,-2,FALSE,FALSE,FALSE,01/01/2022
kohlensauer,carbonic,-2,FALSE,FALSE,TRUE,01/01/2022
nah,close,-2,FALSE,FALSE,FALSE,01/01/2022
geschlossen,closed,-2,FALSE,FALSE,FALSE,01/01/2022
wolkenlos,cloudless,-2,FALSE,FALSE,FALSE,01/01/2022
entgegen,contrary to,-2,FALSE,FALSE,FALSE,01/01/2022
trocken,dry,-2,FALSE,FALSE,FALSE,01/01/2022
böse,evil,-2,FALSE,FALSE,FALSE,01/01/2022
zuerst,first (adv.),-2,FALSE,FALSE,TRUE,01/01/2022
faul,lazy,-2,FALSE,FALSE,FALSE,01/01/2022
Angenehm!,Nice to meet you!,-2,FALSE,FALSE,FALSE,01/01/2022
hauptsächlich,primary,-2,FALSE,FALSE,FALSE,01/01/2022
selten,rarely,-2,FALSE,FALSE,TRUE,01/01/2022
ähnlich,similar,-2,FALSE,FALSE,FALSE,01/01/2022
simpel,simple,-2,FALSE,FALSE,FALSE,01/01/2022
blöd,stupid,-2,FALSE,FALSE,TRUE,01/01/2022
die Wut,the anger,-2,FALSE,FALSE,TRUE,01/01/2022
die Hymne,the anthem,-2,FALSE,FALSE,FALSE,01/01/2022
der Rücken,the back,-2,FALSE,FALSE,FALSE,01/01/2022
der Schnabel,the beak,-2,FALSE,FALSE,FALSE,01/01/2022
das Tippspiel,the betting game,-2,FALSE,FALSE,FALSE,01/01/2022
das Frühstück,the breakfast,-2,FALSE,FALSE,FALSE,01/01/2022
der Rosenkohl,the Brussels sprout,-2,FALSE,FALSE,FALSE,01/01/2022
der Käfig,the cage,-2,FALSE,FALSE,FALSE,01/01/2022
der Gegensatz,the contrast,-2,FALSE,FALSE,FALSE,01/01/2022
der Mitspieler,the co-player,-2,FALSE,FALSE,TRUE,01/01/2022
die Höflichkeit,the courtesy,-2,FALSE,FALSE,TRUE,01/01/2022
