German,English,Score,SucceedSession,Succeed,TrySession,Retry
abenteuerlustig,adventuresome,-1,FALSE,FALSE,TRUE,01/01/2022
abenteuerlich,adventurous,-1,FALSE,FALSE,FALSE,01/01/2022
aggressiv,aggressive,-1,FALSE,FALSE,TRUE,01/01/2022
einig,agreed,-1,FALSE,FALSE,FALSE,01/01/2022
insgesamt,all things considered,-1,FALSE,FALSE,FALSE,01/01/2022
erstaunt,amazed,-1,FALSE,FALSE,FALSE,01/01/2022
wütend,angry,-1,FALSE,FALSE,FALSE,01/01/2022
am Anfang,at the beginning,-1,FALSE,FALSE,FALSE,01/01/2022
vorher,before,-1,FALSE,FALSE,FALSE,01/01/2022
bitter,bitter,-1,FALSE,FALSE,FALSE,01/01/2022
übrigens,by the way,-1,FALSE,FALSE,FALSE,01/01/2022
demzufolge,consequently,-1,FALSE,FALSE,FALSE,01/01/2022
kühl,cool,-1,FALSE,FALSE,FALSE,01/01/2022
neugierig,curious,-1,FALSE,FALSE,FALSE,01/01/2022
gesunken,decreased,-1,FALSE,FALSE,FALSE,01/01/2022
enttäuscht,disappointed,-1,FALSE,FALSE,FALSE,01/01/2022
bergab,downhill,-1,FALSE,FALSE,FALSE,01/01/2022
sterbend,dying,-1,FALSE,FALSE,FALSE,01/01/2022
weltlich,earthly,-1,FALSE,FALSE,FALSE,01/01/2022
rechtsextrem,far-right,-1,FALSE,FALSE,FALSE,01/01/2022
weniger,fewer,-1,FALSE,FALSE,FALSE,01/01/2022
dreckig,filthy,-1,FALSE,FALSE,FALSE,01/01/2022
Frohes Neues Jahr,Happy New Year (after),-1,FALSE,FALSE,FALSE,01/01/2022
hilfsbereit,helpful,-1,FALSE,FALSE,FALSE,01/01/2022
ehrlich,honest,-1,FALSE,FALSE,FALSE,01/01/2022
hoffentlich,hopefully,-1,FALSE,FALSE,FALSE,01/01/2022
einwandernd,immigrant,-1,FALSE,FALSE,FALSE,01/01/2022
interessiert,interested,-1,FALSE,FALSE,FALSE,01/01/2022
vorletzt,last but one,-1,FALSE,FALSE,FALSE,01/01/2022
