deutsch,englisch
die Accessoires,the accessories
anhaben,to be wearing
die Apfelschorle,the apple spritzer
die Aubergine,the aubergine
die Ausrüstung,the equipment
der Babyartikel,the baby items
die Badesachen,the swimwear
der Bart,the beard
die Bekleidung,the clothing
bestimmt,surely
blond,blond
braten,to roast
bummeln,to stroll
bunt,colourful
das Camping,the camping
der Champignon,the mushroom
die Currywurst,the currywurst
die Dame,the lady
darin,in it
dick,fat
der,the thief
das Ding,the thing
der Duft,the smell
dünn,thin
das Duschgel,the shower gel
egal,equal
das Ehepaar,the married couple
einfarbig,monochromatic
die Elektronik,the electronics
der Fahrradhelm,the cycle helmet
fantastisch,fantastic
das Fast Food,the fast food
die Flipflops,the flip flops
frittieren,to fry
die Gemüselasagne,the vegetable lasagne
gepunktet,spotty
das Gericht,the meal
gestreift,striped
glatt,smooth
die Glatze,the bald head
das Gold,the gold
griechisch,Greek
die Gulaschsuppe,the goulash soup
der Gürtel,the belt
die Haarpflege,the hair care
das Hauptgericht,the main meal
die Hautpflege,the skin care
hübsch,pretty
die Kamera,the camera
kariert,checkered
das Kompliment,the compliment
der Kopfhörer,the headphones
die Kosmetiktasche,the cosmetic bag
die Krawatte,the tie
das Küchengerät,the kitchen appliance
laufen,to run
die Lieblingsfarbe,the favourite colour
lockig,curly
das Make,the make up
die Maus,the mouse
das Mineralwasser,the mineral water
das Modegeschäft,the fashion shop
der Modeschmuck,the fashion jewellry
nachher,afterwards
die Naturkosmetik,the natural cosmetics
das Navigationsgerät,the navigation device
der Ofen,the oven
der Ohrring,the earring
die Parfümerie,the perfumery
die Pfanne,the pan
plötzlich,suddenly
der,the policeman
der Schafskäse,the feta cheese
scharf,spicy
schauen,to look
das Schaufenster,the shop window
schick,chic
schlank,slim
der Schmuck,the jewellry
das Schnäppchen,the deal
das Schnitzel,the schnitzel
der Schnurrbart,the moustache
der Schrei,the scream
die Schuhgröße,the shoe size
die Shorts,the shorts
das Silber,the silver
der Snack,the snack
die Spielwaren,the toys
das Steak,the steak
stehlen,to steal
der Stiefel,the boot
die Süßigkeiten,the sweets
das Tattoo,the tattoo
der Toaster,the toaster
ungarisch,Hungarian
die Unterwäsche,the underwear
das Vanilleeis,the vanilla ice cream
der,the vegetarian
vegetarisch,vegetarian
wandern,to hike
der Wanderschuh,the hiking shoes
der Wecker,the alarm
wirklich,really
wunderbar,wonderful
zubereiten,to prepare
die Zucchini,the zucchini
absetzen,to distribute
die Abteilung,the department
angeben,to indicate
der Anruf,the call
der,the caller
der,the employer
der Arbeitsauftrag,the work order
der Arbeitsbeginn,the start of work
der Arbeitsschutz,the occupational safety
der Arbeitsvertrag,the work contract
der Aufzug,the lift
der Außendienst,the sales representatives
ausmachen,to account for
der,the agent
bereit,ready
bereitstellen,to make ready
besprechen,to discuss
die Besprechung,the meeting
betätigen,to operate
betreffen,to relate to
bewahren,to save from
bewegen,to move
der Bildschirm,the screen
der Brand,the fire
die Brandbekämpfung,the fire fighting
der Brandfall,the case of fire
der Brandmelder,the fire alarm
der Brandschutz,the fire prevention
brennen,to burn
die Buchhaltung,the accountant
danken,to thank
deutlich,clearly
echt,really
die Einweisung,the instruction
die Elektrik,the electrics
der Entwurf,the draft
erlauben,to allow
erwarten,to wait for
erwischen,to catch
der Feuerlöscher,the fire extinguisher
die Flamme,the flame
folgen,to follow
gefährden,to endanger
gestalten,to design
gesund,healthy
die Grafik,the graphics
der,graphic designer
die Hektik,the rush
heraussuchen,to pick out
hinfahren,to go there
höflich,polite
der Internetzugang,the internet access
der Kabelsalat,the cable tangle
kennzeichnen,to mark
die Kerze,the candle
das Konto,the account
die Kontoverbindung,the account connection
kopieren,to copy
die Kraft,the power
die Kundenbetreuung,the customer support
der Laptop,the laptop
das Marketing,the marketing
die Mehrfachsteckdose,the power strip
mitschreiben,to take notes
die Nachbereitung,the follow
nennen,to name
die Personalabteilung,the personnel department
das Personalbüro,the personnel office
der,the head of personnel
das Protokoll,the protocol
der Ratschlag,the piece of advice
reagieren,to react
die Regel,the rule
der Rettungswagen,the ambulance
die Rückfrage,the query
das Sekretariat,the secretary's office
die Sicherheit,the security
die Steckdose,the socket
die Steuer,the tax
das Teelicht,the tea light
überlasten,to overload
unbürokratisch,unbureaucratic
unterstützen,support
verabschieden,to adopt
verbessern,to improve
verboten,to forbid
das Verhalten,the behaviour
verlegen,to reschedule
vermeiden,to avoid
die Vermeidung,the avoidance
die Versicherung,the insurance
der Vertrieb,the sales
verwenden,to use
vorbeikommen,to drop by
vorbereiten,to prepare
die Vorschrift,the regulation
der Werbeflyer,the flyer
die Werbeagentur,the marketing agency
aggressiv,aggressive
anders,different
die Angst,the fear
aufhören,to stop
aufpassen,to watch out
ausreichend,enough
befriedigend,satisfactory
die Begrüßung,the greeting
beraten,to advise
der Bericht,the report
das Berufskolleg,the vocational college
der Berufswunsch,the career aspiration
die Biologie,the biology
das Bundesland,the federal state
die Chemie,the chemistry
damals,back then
dieselbe,the same
das Diplom,the diploma
der Elternabend,the parent's evening
der Elternsprechtag,the parent
der,the English teacher
die Erdkunde,the geography
etwa,around
das Fach,the subject
die Fachhochschule,the technical college
die Fachhochschulreife,the technical college certificate
der Fluss,the river
formell,formula
der,the photographer
freiwillig,voluntary
die Gesamtschule,the comprehensive school
die Geschichte,the history
das Gipsbein,the leg in plaster
das Glück,the luck
das Gymnasium,the Grammar school
das Halbjahr,the half
die Hauptschule,the secondary school
hinfallen,to fall over
der Integrationsverein,the integration association
der,the youth
der Junge,the boy
die Kindertagesstätte,the nursery school
die Klasse,the class
die Klassenarbeit,the classwork
der,the class teacher
der Knöchel,the knuckle
der Korb,the basket
die Kunst,the art
das Lieblingsfach,the favourite subject
lösen,to solve
die Lust,the desire
das Mädchen,the girl
mangelhaft,unsatisfactory
die Mathearbeit,the maths test
die Meinung,the opinion
die Nachhilfe,the private tuition
normal,normal
die Note,the mark
die Oberschule,the secondary school
olympisch,olympic
die Pflicht,the duty
die Physik,the physics
der,the pilot
die Planung,the schedule
die Realschule,the secondary modern school
die Rede,the speech
die Religion,the religious studies
das Schaubild,the diagram
schrecklich,terrible
die Schulform,the type of school
der,the headteacher
die Schulpflicht,the compulsory school attendance
das Schulsystem,the school system
selbst,even
der,the social education worker
der Sportunterricht,the sports lessons
streng,strict
die Tagesordnung,the daily schedule
der Teenager,the teenager
teilnehmen,to take part
das Tier,the animal
der,the zookeeper
träumen,to dream
traurig,sad
turnen,to do gymnastics
umknicken,to fold over
unfair,unfair
ungenügend,unsatisfactory
