German,English,Score,SucceedSession,Succeed,TrySession,Retry
allein,alone,4,FALSE,FALSE,FALSE,01/01/2022
andere,other,4,FALSE,FALSE,FALSE,01/01/2022
anrufen,to phone,4,FALSE,FALSE,FALSE,01/01/2022
April,April,4,FALSE,FALSE,FALSE,01/01/2022
arbeiten,to work,4,FALSE,FALSE,FALSE,01/01/2022
August,August,4,FALSE,FALSE,FALSE,01/01/2022
backen,to bake,4,FALSE,FALSE,FALSE,01/01/2022
beginnen,to begin,4,FALSE,FALSE,FALSE,01/01/2022
bequem,convenient,4,FALSE,FALSE,FALSE,01/01/2022
bezahlen,to pay,4,FALSE,FALSE,FALSE,01/01/2022
bis Später,see you later,4,FALSE,FALSE,FALSE,01/01/2022
blau,blue,4,FALSE,FALSE,FALSE,01/01/2022
blind,blind,4,FALSE,FALSE,FALSE,01/01/2022
dann,then,4,FALSE,FALSE,FALSE,01/01/2022
das Alphabet,the alphabet,4,FALSE,FALSE,FALSE,01/01/2022
das Beispiel,the example,4,FALSE,FALSE,FALSE,01/01/2022
das Brot,the bread,4,FALSE,FALSE,FALSE,01/01/2022
das Büro,the office,4,FALSE,FALSE,FALSE,01/01/2022
das Camping,the camping,4,FALSE,FALSE,FALSE,01/01/2022
das Ethik,the ethique,4,FALSE,FALSE,FALSE,01/01/2022
das Geld,the money,4,FALSE,FALSE,FALSE,01/01/2022
das Handtuch,the towel,4,FALSE,FALSE,FALSE,01/01/2022
das Holz,the wood,4,FALSE,FALSE,FALSE,01/01/2022
das Hotel,the hotel,4,FALSE,FALSE,FALSE,01/01/2022
das Insekt,the insect,4,FALSE,FALSE,FALSE,01/01/2022
das Kino,the cinema,4,FALSE,FALSE,FALSE,01/01/2022
das Kreuz,the cross,4,FALSE,FALSE,FALSE,01/01/2022
das Leben,the life,4,FALSE,FALSE,FALSE,01/01/2022
das Material,the material,4,FALSE,FALSE,FALSE,01/01/2022
das Meer,the sea,4,FALSE,FALSE,FALSE,01/01/2022
das Mehl,the flour,4,FALSE,FALSE,FALSE,01/01/2022
das Metall,the metal,4,FALSE,FALSE,FALSE,01/01/2022
das Obst,the fruit,4,FALSE,FALSE,FALSE,01/01/2022
das Omelette,the omelette,4,FALSE,FALSE,FALSE,01/01/2022
das Praktikum,the internship,4,FALSE,FALSE,FALSE,01/01/2022
das Produkt,the product,4,FALSE,FALSE,FALSE,01/01/2022
das Pronomen,the pronoun,4,FALSE,FALSE,FALSE,01/01/2022
das Protokoll,the protocol,4,FALSE,FALSE,FALSE,01/01/2022
das Radio,the radio,4,FALSE,FALSE,FALSE,01/01/2022
das Recht,the right,4,FALSE,FALSE,FALSE,01/01/2022
das Restaurant,the restaurant,4,FALSE,FALSE,FALSE,01/01/2022
das Rezept,the recipe,4,FALSE,FALSE,FALSE,01/01/2022
das Schiff,the ship,4,FALSE,FALSE,FALSE,01/01/2022
das Schlafzimmer,the bedroom,4,FALSE,FALSE,FALSE,01/01/2022
das Sofa,the sofa,4,FALSE,FALSE,FALSE,01/01/2022
das Sonderangebot,the special offer,4,FALSE,FALSE,FALSE,01/01/2022
das Stück,the piece,4,FALSE,FALSE,FALSE,01/01/2022
das Telefon,the telephone,4,FALSE,FALSE,FALSE,01/01/2022
das TischTennis,the table tennis,4,FALSE,FALSE,FALSE,01/01/2022
das Wohnzimmer,the living room,4,FALSE,FALSE,FALSE,01/01/2022
das Wort,the word,4,FALSE,FALSE,FALSE,01/01/2022
das Zebra,the zebra,4,FALSE,FALSE,FALSE,01/01/2022
denken,to think,4,FALSE,FALSE,FALSE,01/01/2022
der Arm,the arm,4,FALSE,FALSE,FALSE,01/01/2022
der Bär,the bear,4,FALSE,FALSE,FALSE,01/01/2022
