deutsch,englisch
die Ampel,the traffic lights
die Ankunftszeit,the arrival time
die Ansage,the announcement
die Apotheke,the pharmacy
der Arzt,the doctor
die Ärztin,the female doctor
die Auskunft,the information
außerdem,also
außerplanmäßig,unscheduled
das Auto,the car
die Bahn,the train
der Bahnhof,the train station
der Ball,the ball
die Bank,the bank
bezahlen,to pay
die Bibliothek,the library
das Bürgerbüro,the local city office
der Bus,the bus
die Bushaltestelle,the bus stop
das Café,the café
dafür,for that
dritte,third
die Durchsage,the announcement
einfach,easy
die Einzelfahrkarte,the single ticket
erste,first
der Erwachsene,the adult
fahren,to travel
der Fahrgast,the passenger
die Fahrkarte,the travel ticket
das Fahrrad,the bicycle
fallen,to fall
fast,nearly
der Flughafen,the airport
das Gebäude,the building
geben,to give
gegenüber,opposite
geradeaus,straight ahead
das Gleis,the platform
gültig,valid
halten,to stop
die Haltestelle,the stop
der Hauptbahnhof,the main train station
hinter,behind
das Hotel,the hotel
der Informationsschalter,the information desk
der Intercity,the intercity
das Jobcenter,the job centre
das Kino,the cinema
die Kirche,the church
das Krankenhaus,the hospital
die Krankenkasse,the health insurance
die Kreuzung,the crossroads
die Kurzstrecke,the short
die Linie,the line
links,left
die Lösung,the solution
der Meter,the metre
der Metzger,the butcher
die Minute,the minute
die Mobilität,the mobility
das Motorrad,the motorcycle
nachfragen,to ask about
nächster,next
nichts,nothing
öffentlich,public
die Orientierung,the orientation
der Park,the park
die Parkgebühr,the parking fee
der Parkplatz,the car park
die Polizei,the police
die Position,the police station
die Post,the post office
praktisch,practical
rechts,right
das Rathaus,the city hall
die Regionalbahn,the regional train
das Restaurant,the restaurant
die Ruhe,the quiet
der Schienenersatzverkehr,the replacement bus service
das Schwimmbad,the swimming pool
selten,rarely
sowieso,anyway
später,later
der Stadtplan,the city map
der Stadtwald,the city forest
steigen,to climb
die Straßenbahn,the tram
die Tageskarte,the day ticket
das Taxi,the taxi
überall,everywhere
umsteigen,to change
ungefähr,around
unter,under
die Verfügung,the availability
das Verkehrsmittel,the means of transport
verstanden,understood
verzögern,to hesitate
die Volkshochschule,the adult education centre
voll,full
vorbei,past
vorne,at the front
warten,to wait
der Weg,the path
der Winter,the winter
der Wochenmarkt,the weekly market
wohin,where to
wollen,to want
der Zug,the train
zweimal,twice
zweite,second
zwischen,between
anfangen,to start
der Arbeitstag,the work day
die Ausbildung,the education
ausfüllen,to fill out
die Aushilfe,the help
der Automechaniker,the car mechanic
die Automechanikerin,the car mechanic
backen,to bake
der Bäcker,the baker
die Bäckerin,the baker
bald,soon
berichten,to report
der Beruf,the career
beruflich,professionally
die Bürokauffrau,the office administrator
der Bürokaufmann,the office administrator
der Chef,the boss
die Chefin,the boss
das Computerprogramm,the computer programme
das Computersystem,the computer system
dauern,to last
dreimal,three times
der Fahrer,the driver
fangen,to catch
der Feierabend,the finishing time
flexibel,flexible
fotografieren,to photograph
freundlich,friendly
der Führerschein,the driver's license
der Fußballspieler,the football player
die Gitarre,the guitar
halbtags,halfdays
die Hausfrau,the housewife
der Hausmann,the househusband
der Hund,the dog
installieren,to install
die Kantine,the cantine
kaputt,broken
die Kasse,the cash register
der Kassierer,the cashier
die Kassiererin,the cashier
die Kauffrau,the business woman
der Kellner,the waiter
die Kellnerin,the waiter
klingeln,to ring
der Koch,the chef
die Köchin,the chef
der Kollege,the colleague
die Kollegin,the colleague
das Konzert,the concert
korrigieren,to correct
das Kraftfahrzeug,the motor vehicle
der Krankenpfleger,the nurse
die Krankenschwester,the nurse
kreativ,people
langweilig,boring
die Leute,the people
die Mathematik,the mathematics
der Mechaniker,the mechanic
der Mensch,the person
das Mittagessen,the lunch
der Moment,the moment
der Musiklehrer,the music teacher
die Musiklehrerin,the music teacher
der Nachtdienst,the night shift
organisieren,to organise
der Pizzafahrer,the pizza driver
die Pizzeria,the pizzeria
die Pflege,the care
prüfen,to check
pünktlich,on time
das Radio,the radio
rechnen,to calculate
der Rentner,the pensioner
die Reparatur,the repair
reparieren,to repair
der Reporter,the reporter
der Roman,the novel
schlimm,bad
der Schüler,the schoolchild
die Schülerin,the schoolchild
servieren,to serve
der Stress,the stress
der Student,the student
die Studentin,the student
studieren,to study
der Taxifahrer,the taxi driver
die Taxifahrerin,the taxi driver
der Techniker,the technician
das Telefon,the telephone
der Traumberuf,the dream job
treffen,to meet
die Universität,the university
unterrichten,to teach
vielleicht,maybe
wählen,to choose
die Werkstatt,the workshop
das Wiederhören,the
zuerst,first
das Altenpflegeheim,the old people's home
anbei,attached
die Anrede,the speech
der Arm,the arm
atmen,to breathe
das Auge,the eye
der Bauch,the stomach
das Bein,the leg
die Bauchschmerzen,the stomach ache
der Bescheid,the notice
die Besserung,the recovery
der Betreff,the subject line
bevor,before
bleiben,to stay
der Brief,the letter
der Briefteil,the part of letter
die Brust,the chest
danach,after
das Datum,the date
dürfen,to be allowed to
der Ellbogen,the elbow
der Empfänger,the recipient
das Entschuldigungsschreiben,the letter of apology
erkälten,to get a cold
die Erkältung,the cold
euer,your
das Fieber,the fever
der Finger,the finger
freundlich,friendly
geehrter,dear
das Gesicht,the face
die Gesundheit,the health
die Gesundheitskarte,the health insurance card
die Grippe,the flu
die Gruppe,the group
das Haar,the hair
der Hals,the throat
der Hals,the throat
das Halsweh,the sore throat
die Hand,the hand
der Hausarzt,the GP
heiß,hot
der Husten,the cough
Hustensaft,cough syrup
das Knie,the knee
der Kopf,the head
die Kopfschmerzen,the headache
der Körper,the body
der Körperteil,the body part
krank,ill
die Krankheit,the illness
die Krankmeldung,the sick note
der März,the march
das Medikament,the medicine
der Mund,the mouth
der Nacken,the neck
die Nase,the nose
die Notfallsprechstunde,the emergency consultation
das Ohr,the ear
der Orthopäde,the orthopaedist
der Patient,the patient
die Patientin,the patient
per,by
das Pflaster,the plaster
das Praktikum,the internship
die Praktikumsbetreuerin,the internship supervisor
die Praxis,the practice
die Praxisgemeinschaft,the joint practice
rauchen,to smoke
regelmäßig,regularly
das Rezept,the recipe
rot,red
der Rücken,the back
rund,round
die Salbe,the ointment
schicken,to send
der Schmerz,the pain
der Schnupfen,the to sniff
die Schulter,the shoulder
schwanger,pregnant
sein,his
die Sprechstunde,the consultation hours
die Sprechstundenhilfe,the receptionist
das Sprechzimmer,the consultation room
stark,strong
die Stirn,the forehead
die Tablette,the tablet
der Termin,the appointment
der Tropfen,the drops
die Unterschrift,the signature
die Untersuchung,the examination
der Verband,the association
verschieden,different
die Vorsorge,the provision
das Wartezimmer,the waiting room
der Wechsel,the change
wechseln,to change
wehtun,to hurt
wieder,again
wiederkommen,to come again
der Zahn,the tooth
der Zeh,the toe
zurzeit,currently
aufwachsen,to grow up
beantworten,to answer
der Besuch,the visit
die Bewegung,the movement
bilden,to form
die Blume,the flower
der Dienst,the service
extra,extra
das Ferienhaus,the holiday home
früher,earlier
geboren sein,to be born
gerade,at the moment
gucken,to watch
der Hausflur,the corridor
heiraten,to marry
das Hobby,the hobby
der Ingenieur,the engineer
die Insel,the island
die Inselrundfahrt,the island tour
kennen,to know
der Koffer,the suitcase
letzte,last
das Meer,the ocean
der Mond,the moon
