German,English
abdecken,to cover
abdrehen,to change course
abhängig,dependent
abheften,to file away
abnehmen,to lose weight
absichtlich,intentional
absolvieren,to complete
abwechslungsreich,varied
achten,to be careful
allerdings,however
allergisch,allergic
amtlich,official
anfahren,to bump into
angewöhnen,to get used to
anmachen,to turn on
anrechnen,to charge
ansehen,to look at
ansteckend,infectious
ärztlich,medical
auseinandersetzen,to discuss
ausgewogen,balanced
ausparken,to reverse out
ausprobieren,to try
ausschalten,to turn off
ausschlafen,to sleep in
ausstellen,to issue
bedenklich,questionable
behaupten,to claim
beilegen,to enclose
benötigen,to require
berufen,to appoint
beschädigen,to damage
bescheinigen,to certify
betrunken,drunk
beurteilen,to evaluate
bewusst,conscious
bio,organic
bisher,until now
bloß,purely
bremsen,to brake
daneben,besides
das,sport utility vehicle
das Autoteil,the car part
das Benzin,the petrol
das Berufsleben,the professional life
das Besprechungszimmer,the meeting room
das Bewerbungsschreiben,the letter of application
das Bioprodukt,the organic produce
das Briefpapier,the letter paper
das Büromaterial,the office stationary
das Catering,the catering
das Dach,the roof
das Dorf,the village
das Einkommen,the income
das Eintrittsdatum,the entry date
das Eiweiß,the protein
das Fax,the fax
das Fertiggericht,the ready meal
das Finanzwesen,the finance
das Führungszeugnis,the certificate of good conduct
das Gesundheitszeugnis,the health certificate
das Getreide,the grain
das Heimweh,the home sickness
das Herkunftsland,the country of origin
das Kochbuch,the cookery book
das Nahrungsmittel,the foodstuff
das Niveau,the level
das Nummernschild,the number plate
das Original,the original
das Rücklicht,the tail light
das Schreiben,the correspondence
das Seniorenheim,the old people's home
das Steuerberatungsbüro,the tax consultancy firm
das Übersetzungsbüro,the translation agency
das Unternehmen,the company
das Vertragsende,the contract end
das Werkzeug,the work tools
das Ziel,the aim
der Abteilungsleiter,the division manager
der Altenpfleger,the geriatric nurse
der Anbau,the cultivation
der Anfang,the beginning
der Außenspiegel,the wing mirror
der Auszug,the extract
der Autofahrer,the car driver
der Bachelor,the Bachelor's degree
der Bekannte,the acquaintance
der Bilanzbuchhalter,the accountant
der Blinker,the indicator
der Büroalltag,the office life
der Büroassistent,the office assistant
der Büroraum,the office space
der Diabetiker,the diabetic
der Diebstahl,the theft
der Döner,the kebab
der Einbrecher,the burglar
der Einbruch,the burglary
der Empfang,the reception
der Erhalt,the receipt
der Esser,the eater
der Firmensitz,the registered office
der Föhn,the hairdryer
der Freiwillige,the volunteer
der Freundeskreis,the circle of friends
der Frieden,the peace
der Frust,the frustration
der Gang,the course
der Gebrauchtwagen,the used vehicle
der Gedanke,the thought
der Geruch,the smell
der Geschäftsführer,the managing director
der Geschmack,the taste
der Hagel,the hail
der Handwerker,the workman
der Hartweizen,the durum wheat
der Hauptgrund,the main reason
der Hügel,the hill
der Kamm,the comb
der Kilometer,the kilometre
der Kofferraum,the car boot
