deutsch,englisch
abschicken,to submit
die Abwicklung,the settlement
amtlich,official
anerkennen,to recognise
die Anerkennung,the recognition
der Anfang,the beginning
ansteckend,infectious
ausstellen,to issue
die Bearbeitung,the processing
beglaubigen,to certify
die Beglaubigung,the certification
der,the acquaintance
benötigen,to require
berufen,to appoint
bescheinigen,to certify
dran sein,to be for it
einreichen,to submit
enttäuschen,to disappoint
die Enttäuschung,the disappointment
der Erhalt,the receipt
die Erklärung,the explanation
erkundigen,to enquire
die Fähigkeit,the ability
die Fantasie,the phantasy
die Formalität,the formality
förmlich,formal
die Fotokopie,the photocopy
der Frieden,the peace
das Führungszeugnis,the certificate of good conduct
garantieren,to guarantee
der Gedanke,the thought
die Geduld,the patience
geduldig,patient
die Gemeinsamkeit,the common feature
der Geruch,the smell
das Gesundheitszeugnis,the health certificate
gewährleisten,to ensure
häufig,often
das Heimweh,the home sickness
herkommen,to come from
das Herkunftsland,the country of origin
hierher,here
hilfsbereit,ready to help
inzwischen,meanwhile
die Kopie,the copy
die Mentalität,the mentality
nachdenklich,thoughtful
der,the nursing assistant
die Pflegekraft,the carer
die Reihe,the row
der,the administrative assistant
der Sprachnachweis,the language certificate
übereinstimmen,to correspond
überglücklich,overjoyed
übersetzen,to translate
die Übersetzung,the translation
das Übersetzungsbüro,the translation agency
ungeduldig,impatient
vermissen,to miss
verurteilen,to judge
wahr,true
weitergehen,to continue
wohlfühlen,to feel comfortable
das Ziel,the aim
zügig,quick
zusammenstellen,to put together
abhängig,dependent
absolvieren,to complete
der,the division manager
abwechslungsreich,varied
der,the geriatric nurse
die Anlage,the system
die Annahme,the acceptance
anrechnen,to charge
die Anstellung,the employment
die Arbeitsstelle,the position
die Arbeitsweise,the working method
die Arbeitszeit,the working hours
die Assistenz,the assistance
die Aufteilung,the allocation
der Auszug,the extract
der Bachelor,the Bachelor's degree
beherrschen,to master
beilegen,to enclose
die Berufsbezeichnung,the job description
die Berufserfahrung,the job experience
das Berufsleben,the professional life
die Betriebswirtschaft,the business administration
beurteilen,to evaluate
das Bewerbungsschreiben,the letter of application
der,the accountant
bisher,until now
das Briefpapier,the letter paper
das Büromaterial,the office stationary
die Bürozeit,the office hours
das Catering,the catering
daneben,besides
eigenverantwortlich,independent
eingehen,to enter
einschreiben,to inscribe
das Eintrittsdatum,the entry date
der Empfang,the reception
empfangen,to receive
englischsprachig,in English
entnehmen,to take from
die Erstellung,the creation
färben,to colour
das Fax,the fax
die Festanstellung,the full
festlegen,to determine
finanziell,financial
das Finanzwesen,the finance
der Firmensitz,the registered office
fließend,fluent
der Föhn,the hairdryer
fordern,to demand
die Formulierung,the wording
die Fortbildung,the further education
die Frisur,the hairdresser
die Gehaltsvorstellung,the desired salary
der,managing director
die Geschäftsführung,the management
gleichzeitig,at the same time
die Handlung,the conduct
die Herausforderung,the challenge
individuell,individual
insofern,provided
intern,internal
die Jobbezeichnung,the job description
der Kamm,the comb
die Kommunikationsstärke,the strong communication skills
kommunikativ,communicative
der Konferenzraum,the conference room
die Kontaktdaten,the contact details
kümmern,to take care of
leistungsgerecht,performance
leiten,to lead
der,manager
der Maschinenbau,the engineering
meistern,to master
der,millionaire
mittelständisch,middle
nachdem,after
das Niveau,the level
das Original,the original
der PC,the PC
der Posteingang,the inbox
die Probezeit,the probationary period
die Qualifikation,the qualification
regeln,to control
der,sales manager
schneiden,to cut
das Schreiben,the correspondence
seitdem,since then
der,the self
senden,to broadcast
das Seniorenheim,the old people's home
soweit,so far as
die Speise,the dish
spezialisieren,to specialise
die Stellenanzeige,the job advertisement
der Steuerberater,the tax consultant
das Steuerberatungsbüro,the tax consultancy firm
die Teamfähigkeit,the ability to work in a team
die Telekommunikation,the telecommunication
der Terminkalender,the appointment calendar
traditionsreich,steeped in tradition
die Überstunde,the overtime
der Umgang,the handling
die Umschulung,the re
unbefristet,indefinite
das Unternehmen,the company
der Urlaubstag,the paid leave
verabreden,to arrange
die Vergütung,the remuneration
die Verstärkung,the enhancement
weiterhelfen,to help out
die Weiterleitung,the forwarding
das Werkzeug,the work tools
zaubern,to conjure
zeitlich,on time
der Zeitpunkt,the point in time
zusätzlich,additional
