German,English,Score,SucceedSession,Succeed,TrySession,Retry
abwesend,absent,0,FALSE,FALSE,FALSE,01/01/2022
aktiv,active,0,FALSE,FALSE,FALSE,01/01/2022
besorgt,afraid,0,FALSE,FALSE,FALSE,01/01/2022
entlang,along,0,FALSE,FALSE,FALSE,01/01/2022
obwohl,although,0,FALSE,FALSE,FALSE,01/01/2022
genehmift,approved,0,FALSE,FALSE,FALSE,01/01/2022
aufmerksam,attentive,0,FALSE,FALSE,FALSE,01/01/2022
zurück,back,0,FALSE,FALSE,FALSE,01/01/2022
schlimm,bad,0,FALSE,FALSE,FALSE,01/01/2022
gelangweilt,bored,0,FALSE,FALSE,FALSE,01/01/2022
beide,both,0,FALSE,FALSE,FALSE,01/01/2022
gebrochen,broken,0,FALSE,FALSE,FALSE,01/01/2022
chaotisch,chaotic,0,FALSE,FALSE,FALSE,01/01/2022
kompliziert,complicated,0,FALSE,FALSE,FALSE,01/01/2022
ständig,constant,0,FALSE,FALSE,FALSE,01/01/2022
gestorben,dead,0,FALSE,FALSE,FALSE,01/01/2022
unterschiedlich,different,0,FALSE,FALSE,FALSE,01/01/2022
uneinig,divided,0,FALSE,FALSE,FALSE,01/01/2022
dramatisch,dramatic,0,FALSE,FALSE,FALSE,01/01/2022
trüb,dull,0,FALSE,FALSE,FALSE,01/01/2022
während,during,0,FALSE,FALSE,FALSE,01/01/2022
usw.,etc,0,FALSE,FALSE,FALSE,01/01/2022
einziger,exclusive,0,FALSE,FALSE,FALSE,01/01/2022
rechts aussen,extreme right,0,FALSE,FALSE,FALSE,01/01/2022
neblig,foggy,0,FALSE,FALSE,FALSE,01/01/2022
frustriert,frustrated,0,FALSE,FALSE,FALSE,01/01/2022
komisch,funny,0,FALSE,FALSE,FALSE,01/01/2022
echt,genuine,0,FALSE,FALSE,FALSE,01/01/2022
Ungar,Hungary,0,FALSE,FALSE,FALSE,01/01/2022
eindrucksvoll,impressive,0,FALSE,FALSE,FALSE,01/01/2022
in Eile,in a hurry,0,FALSE,FALSE,FALSE,01/01/2022
auf dem Lande,in the countryside,0,FALSE,FALSE,FALSE,01/01/2022
verletzt,injured,0,FALSE,FALSE,FALSE,01/01/2022
unsichtbar,invisible,0,FALSE,FALSE,FALSE,01/01/2022
lieb,kind,0,FALSE,FALSE,FALSE,01/01/2022
bekannt,known,0,FALSE,FALSE,FALSE,01/01/2022
gering,low,0,FALSE,FALSE,FALSE,01/01/2022
gemischt,mixed,0,FALSE,FALSE,FALSE,01/01/2022
ordentlich,neat,0,FALSE,FALSE,FALSE,01/01/2022
nervös,nervous,0,FALSE,FALSE,FALSE,01/01/2022
geduldig,patient,0,FALSE,FALSE,FALSE,01/01/2022
arm,poor,0,FALSE,FALSE,FALSE,01/01/2022
vorherig,previous,0,FALSE,FALSE,FALSE,01/01/2022
pünktlich,punctual,0,FALSE,FALSE,FALSE,01/01/2022
kürzlich,recent,0,FALSE,FALSE,FALSE,01/01/2022
relativ,relative,0,FALSE,FALSE,FALSE,01/01/2022
entspannt,relaxed,0,FALSE,FALSE,FALSE,01/01/2022
reich,rich,0,FALSE,FALSE,FALSE,01/01/2022
lächerlich,ridiculous,0,FALSE,FALSE,FALSE,01/01/2022
egoistisch,selfish,0,FALSE,FALSE,FALSE,01/01/2022
dumm,silly,0,FALSE,FALSE,FALSE,01/01/2022
smart,smart,0,FALSE,FALSE,FALSE,01/01/2022
spontan,spontaneous,0,FALSE,FALSE,FALSE,01/01/2022
sonnig,sunny,0,FALSE,FALSE,FALSE,01/01/2022
die Abwesenheit,the absence,0,FALSE,FALSE,FALSE,01/01/2022
die Erwachsene,the adult,0,FALSE,FALSE,FALSE,01/01/2022
der Vorteil,the advantage,0,FALSE,FALSE,FALSE,01/01/2022
der Erlebnispark,the adventure park,0,FALSE,FALSE,FALSE,01/01/2022
das Attentat,the assassination attempt,0,FALSE,FALSE,FALSE,01/01/2022
der Angriff,the attack,0,FALSE,FALSE,FALSE,01/01/2022
die Barge,the barge,0,FALSE,FALSE,FALSE,01/01/2022
das Bad,the bathroom,0,TRUE,FALSE,TRUE,01/01/2022
die Biene,the bee,0,FALSE,FALSE,FALSE,01/01/2022
der Beginn,the beginning,0,FALSE,FALSE,FALSE,01/01/2022
das Verhalten,the behaviour,0,FALSE,FALSE,FALSE,01/01/2022
der Gürtel,the belt,0,FALSE,FALSE,FALSE,01/01/2022
die Langeweile,the boredom,0,FALSE,FALSE,FALSE,01/01/2022
der Broccoli,the broccoli,0,FALSE,FALSE,FALSE,01/01/2022
