German,English
abfahren,to depart
abgeben,to submit
abholen,to collect
ablegen,to take
ablehnen,to refuse
ablesen,to read from
abmelden,to deregister
abschließen,to complete
abstellen,to turn off
afrikanisch,African
ähnlich,similar
aktuell,current
alle,all
anbieten,to offer
ändern,to change
ankommen,to arrive
ankreuzen,to mark with a cross
aufrufen,to call up
aufschließen,to unlock
ausblenden,to fade out
ausfallen,to be cancelled
ausführen,to execute
ausgeben,to spend
aussehen,to look
aussteigen,to get out
aussuchen,to choose
ausziehen,to move out
beachten,to consider
beantragen,to apply for
bearbeiten,to edit
bedanken,to thank
bedeuten,to mean
bedienen,to serve
beeilen,to hurry
beenden,to end
begründen,to justify
berufstätig,employed
besichtigen,to visit
besonders,especially
bestellen,to order
bitten,to ask
buchen,to book
chatten,to chat
dabei,thereby
darum,therefore
das Abitur,the A-level
das Altglas,the waste glass
das Amt,the office
das Amtsdeutsch,the official German
das Arbeitslosengeld,the unemployment benefit
das Ausland,the abroad
das Ausländeramt,the immigration office
das Autofahren,the to drive a car
das Bahnfahren,the rail travel
das Beratungsgespräch,the consultation
das Berufsfeld,the field of work
das Berufsinformationszentrum,the career information centre
das Brett,the board
das Chaos,the chaos
das Dokument,the document
das Einwohnermeldeamt,the registration office
das Ende,the end
das Enkelkind,the grandchild
das Familienbuch,the family register
das Familienmitglied,the family member
das Finanzamt,the tax office
das Flugzeug,the plane
das Forum,the forum
das Gas,the gas
das Geburtsdatum,the date of birth
das Geburtsland,the country of birth
das Geschlecht,the gender
das Holz,the wood
das Internet,the Internet
das Kennwort,the password
das Kindergeld,the child allowance
das Kulturcafé,the culture café
das Kurzprogramm,the short program
das Lehrmaterial,the teaching material
das Material,the material
das Muster,the pattern
das Pech,the bad luck
das Programm,the programme
das Prost,the Cheers!
das Prüfungstraining,the exam training
das Reiseziel,the travel destination
das Schild,the sign
das Semester,the term
das Smartphone,the smartphone
das Spielzeug,the toy
das Stellenangebot,the job offer
das Straßenfest,the street party
das Symbol,the symbol
das Team,the team
das Theater,the theatre
das Thema,the topic
das Training,the training
das Treppenhaus,the stairway
das Volleyball,the volleyball
das Vorstellungsgespräch,the interview
das Würstchen,the sausage
das Yoga,the yoga
das Zeitmanagement,the time management
das Zertifikat,the certificate
dass,that
defekt,defective
der Abschluss,the degree
der Anfänger,the beginner
der Angehörige,the relative
der Anschlusszug,the connecting train
der Ansprechpartner,the contact person
der Antrag,the application
der Antragsteller,the applicant
der Arbeitsplatz,the workplace
der Aufenthalt,the stay
der Ausbildungsplatz,the training place
der Aushilfsjob,the temporary job
der Ausweis,the ID
der Auszubildende,the trainee
der Automat,the vending machine
der Autounfall,the car accident
der Bäckereifachverkäufer,the baker's assistant
der Bahnsteig,the platform
der Beinbruch,the leg fracture
der Benutzername,the user name
der Bereich,the area
der Bezirk,the district
der Bildungsweg,the course of education
der Biomüll,the biowaste
der Briefkasten,the mailbox
der Cousin,the cousin
der Ehepartner,the spouse
der Eintritt,the entrance
der Einzug,the move in
der Enkel,the grandson
der Fahrkartenschalter,the ticket office
der Fahrplan,the schedule
der Fahrradständer,the bicycle stand
der Fernbus,the long-distance bus
der Flohmarkt,the flea market
der Frisör,the hairdresser
der Geburtsname,the name at birth
der Geburtsort,the place of birth
der Glascontainer,the bottle bank
der Grund,the ground
der Halt,the stop
der Hausbewohner,the house resident
der Hausmeister,the caretaker
der Informatiker,the IT technician
der Integrationskurs,the integration course
der Kellerzugang,the cellar entrance
der Kinderwagen,the baby buggy
der Kommentar,the comment
der Lebenslauf,the CV
der Lebenspartner,the life partner
der Lebensweg,the journey through life
der Leser,the reader
der Lichtbildausweis,the photo ID
der Lieferant,the supplier
der Makler,the broker
der Mieter,the tenant
der Mitarbeiter,the employee
der Mitbewohner,the roommate
der Modedesigner,the fashion designer
der Nachtisch,the dessert
der Neffe,the nephew
der Personalausweis,the personal ID
der Realschulabschluss,the secondary school certificate
der Regen,the rain
der Regenschirm,the umbrella
der Reisepass,the passport
der Restaurantfachmann,the restaurant specialist
der Restmüll,the residual waste
der Schaffner,the conductor
der Senior,the senior
der Serviceschalter,the service counter
der Spiegel,the mirror
der Stellplatz,the parking space
der Teil,the part
der Test,the test
der Tippfehler,the typing error
der Tischler,the carpenter
der Treffpunkt,the venue
der Trick,the trick
der Umzug,the move
der Umzugskarton,the moving box
der Veranstaltungstipp,the event tip
der Verbraucherzähler,the consumption meter
der Vermieter,the landlord
der Vorschlag,the suggestion
der Wunsch,the wish
der Zähler,the meter
der Zoo,the zoo
der Zugang,the entry
deshalb,hence
dich,you
die Abendkasse,the box office
die Abfahrt,the departure
die Ablesung,the reading
die Abmeldung,the deregistration
die Ankunft,the arrival
die Anschrift,the address
die App,the app
die Arbeitsagentur,the employment agency
die Arbeitserlaubnis,the work permit
die Arbeitsvermittlung,the employment service
die Architektur,the architecture
die Aufenthaltserlaubnis,the residence permit
die Ausländerbehörde,the immigration authorities
die Behörde,the authorities
die Beratung,the counselling
die Berufsausbildung,the professional training
die Berufsberatung,the career guidance
die Berufsschule,the vocational college
die Beschwerde,the complaint
die Biotonne,the biowaste container
die Büroorganisation,the office administration
die Datei,the file
die Dauer,the duration
die Decke,the ceiling
die Ecke,the corner
die Eheschließung,the marriage
die Einbauküche,the built-in kitchen
die Einweihungsparty,the housewarming party
die Einwurfzeit,the time slot for putting out rubbish
die Empfehlung,the recommendation
die Energie,the energy
die Familienkasse,the family class
die Fernwärme,the remote heating
die Fitness,the fitness
die Geburt,the birth
die Geburtsurkunde,the birth certificate
die Hausordnung,the house rules
die Hausregel,the house rule
die Hausreinigung,the house cleaning
die Hausverwaltung,the property management
die Hinfahrt,the journey there
die Integration,the integration
die Kategorie,the category
die Kenntnisse,the knowledge
die Kinokarte,the cinema ticket
die Kleinmöbel,the small pieces of furniture
die Kneipe,the pub
die Kommode,the dresser
die Kommunikation,the communication
die Küchenhilfe,the kitchen assistant
die Kursgebühr,the course fee
die Laufbahn,the career path
die Lehre,the apprenticeship
die Mitteilung,the notification
die Mittelschule,the secondary school
die Müllabfuhr,the garbage disposal
die Nachbarschaft,the neighbourhood
die Nachricht,the message
die Nähe,the proximity
die Nichte,the niece
die Nummer,the number
die Option,the option
die Politik,the politics
die Prüfung,the exam
die Radtour,the cycling tour
die Reihenfolge,the order
die Reinigungsarbeiten,the cleaning jobs
die Reisemöglichkeit,the travel option
die Rente,the retirement
die Reservierung,the booking
die Richtung,the direction
die Rolle,the role
die Rückfahrt,the return journey
die Schulzeit,the school days
die Schwiegereltern,the parents-in-law
die Situation,the situation
die Staatsangehörigkeit,the nationality
die Startseite,the homepage
die Station,the station
die Stelle,the position
die Stellensuche,the job search
die Störung,the disruption
die Strafe,the penalty
die Strecke,the route
die Struktur,the structure
die Teilzeit,the part-time
die Teilzeitstelle,the part-time job
die Temperatur,the temperature
die Terminplanung,the scheduling
die Theorie,the theory
die Tiefgarage,the underground garage
die Tonne,the barrel
die Treppe,the stairs
die Überraschung,the surprise
die Überschrift,the heading
die Übersiedlung,the relocation
die Umwelt,the environment
die Unterlagen,the documents
die Vase,the vase
die Verabredung,the meet up
die Veranstaltung,the event
die Verbindung,the connection
die Verspätung,the delay
die Vollzeit,the full-time
die Vollzeitstelle,the full-time job
die Voraussetzung,the requirement
die Vorkenntnisse,the prior knowledge
die Vorlage,the template
die Vorsicht,the caution
die Webseite,the website
die Weiterbildung,the further training
die Welt,the world
die Wettervorhersage,the weather forecast
die Wirtschaft,the economy
die Wohngemeinschaft,the flat share
die Wohnungsbesichtigung,the flat viewing
die Zeitschrift,the magazine
die Zulassungsstelle,the admission office
diskutieren,to discuss
drehen,to turn
drüben,over there
drucken,to print
eindecken,to inundate
einrichten,to furnish
einsteigen,to board
einziehen,to move in
empfehlen,to recommend
enthalten,to contain
entscheiden,to decide
entschuldigen,to excuse
entsorgen,to dispose of
erfolgen,to take place
erforderlich,required
erhalten,to receive
erreichen,to reach
fehlen,to miss
fliegen,to fly
fliehen,to flee
flirten,to flirt
fortgeschritten,advanced
funktionieren,to work
Gassi gehen,to walk the dog
gebraucht,used
gehören,to belong
genehmigen,to approve
genug,enough
gesondert,separate
googeln,to google
Grundschule,primary school
handwerklich,manual
herausfinden,to find out
herein,within
herunterladen,to download
herzlich,warm
hin,there
hingehen,to go there
hoch,high
hochladen,to upload
Hof,yard
hoffen,to hope
hoffentlich,hopefully
informieren,to inform
international,international
jemand,someone
jobben,to do casual work
kaufmännisch,business
klicken,to click
kompakt,compact
kostenlos,free of charge
kündigen,to terminate
kürzen,to shorten
legen,to lay
leidtun,to be sorry
liefern,to supply
löschen,to delete
losfahren,to drive away
lückenlos,seamless
mailen,to mail
männlich,male
melden,to notify
mich,me
miserabel,miserable
mitkommen,to come along
mitmachen,to participate
mitnehmen,to take with
mittlere,middle
nachschauen,to look up
nah,close
nämlich,namely
nervös,nervous
Newsletter,newsletter
notieren,to note
nötig,necessary
ob,whether
oben,at the top
ordnungsgerecht,properly
passieren,to happen
persönlich,personal
planmäßig,on schedule
preiswert,inexpensive
prima,great
privat,private
professionell,professional
reichlich,abundant
reisen,to travel
rhythmisch,rhythmical
schaffen,to succeed
schließlich,finally
schonen,to treat with care
schwarzfahren,to fare-dodge
schwierig,difficult
seit,since
setzen,to sit
sinken,to decrease
sogar,even
sondern,but
sorgen,to care
sorgfältig,thoroughly
Spaziergang,walk
speichern,to save
spezial,special
städtisch,urban
starten,to begin
statt,instead
steigen,to increase
sympathisch,kind
tauschen,to swap
tippen,to type
trainieren,to train
trennen,to separate
üben,to practice
übernehmen,to assume
umschreiben,to re-write
umsteigen,to change trains
umziehen,to move
unprofessionell,unprofessional
unsympathisch,unkind
unternehmen,to undertake
unterschreiben,to sign
unterwegs,en route
unzufrieden,unsatisfied
verehrt,dear
vereinbaren,to arrange
verlieben,to fall in love
verlieren,to lose
vermieten,to let
verrückt,crazy
verschlafen,to oversleep
verspätet,late
vollständig,complete
Vorbereitung,preparation
vorhanden,available
wegen,due to
weiblich,female
weil,because
weiterhin,still
wenig,little
wiederholen,to repeat
wohl,probably
zeitweise,occasionally
zufrieden,satisfied
zuhören,to listen
zuletzt,recently
zuschauen,to watch
zuständig,responsible
zuverlässig,reliable
zuzüglich,plus
