German,English
darüber,about
danach,after
wieder,again
einverstanden,agreed
außerdem,also
sowieso,anyway
ungefähr,around
überhaupt,at all
vorne,at the front
gerade,at the moment
anbei,attached
schlecht,bad
bevor,before
hinter,behind
beige,beige
besten,best
besser,better
zwischen,between
schwarz,black
blau,blue
langweilig,boring
kaputt,broken
braun,brown
per,by
bestimmt,certainly
bewölkt,cloudy
bequem,comfortable
Hustensaft,cough syrup
zurzeit,currently
geehrter,dear
Dezember,December
verschieden,different
trocken,dry
früher,earlier
einfach,easy
genauso,equally
eben,even
überall,everywhere
extra,extra
der Februar,February
erste,first
flexibel,flexible
nebelig,foggy
stundenlang,for hours
dafür,for that
freundlich,friendly
voll,full
lustig,funny
froh,glad
günstig,good value
klasse,great
grau,grey
hageln,hail
halbtags,halfdays
glücklich,happy
ihm,him
sein,his
heiß,hot
krank,ill
unregelmäßig,infrequent
Januar,January
Juli,July
letzte,last
später,later
links,left
Mai,May
vielleicht,maybe
minus,minus
meisten,most
gegenseitig,mutual
fast,nearly
nächster,next
nichts,nothing
November,November
nun,now
Oktober,October
samstags,on saturdays
pünktlich,on time
online,online
gegenüber,opposite
vorbei,past
kreativ,people
positiv,positive
praktisch,practical
schwanger,pregnant
beruflich,professionally
öffentlich,public
lila,purple
selten,rarely
rot,red
regelmäßig,regularly
zurück,return
rechts,right
rund,round
zweite,second
sicher,secure
September,September
bald,soon
geradeaus,straight ahead
stressig,stressful
stark,strong
blöd,stupid
sonnig,sunny
süß,sweet
furchtbar,terrible
Dank,Thanks
das Wiederhören,the
der Erwachsene,the adult
die Volkshochschule,the adult education centre
der Luftballon,the air balloon
der Flughafen,the airport
die Ansage,the announcement
der Termin,the appointment
April,April
der Arm,the arm
die Ankunftszeit,the arrival time
der Verband,the association
August,August
der Herbst,the autumn
die Verfügung,the availability
der Rücken,the back
der Bäcker,the baker
der Ball,the ball
die Bank,the bank
der Strand,the beach
das Fahrrad,the bicycle
der Geburtstag,the birthday
die Geburtstagstorte,the birthday cake
die Bluse,the blouse
der Körper,the body
der Körperteil,the body part
der Chef,the boss
die Braut,the bride
das Gebäude,the building
der Bus,the bus
die Bushaltestelle,the bus stop
die Kauffrau,the business woman
der Metzger,the butcher
das Café,the café
die Torte,the cake
der Kalender,the calendar
die Kantine,the cantine
das Auto,the car
der Automechaniker,the car mechanic
der Parkplatz,the car park
die Strickjacke,the cardigan
die Pflege,the care
der Beruf,the career
die Kasse,the cash register
der Kassierer,the cashier
die Achtung,the caution
die Feier,the celebration
der Wechsel,the change
der Koch,the chef
die Brust,the chest
der Schokoladenkuchen,the chocolate cake
das Weihnachten,the Christmas
die Weihnachtsfeier,the Christmas party
das Weihnachtsgeschenk,the Christmas present
der Weihnachtsbaum,the Christmas tree
die Kirche,the church
